item,sentence,penalized_logprob
1F.01,There might mice seem to be in the cupboard.,-20.22465038982079
1F.02,Mike prefers tennis because Jon baseball.,-37.818512004855315
1F.03,Jenny cleaned her sister the table.,-19.737210756829953
2F.01,There had all hung over the fireplace the portraits by Picasso.,-14.697640428565348
2F.02,Lily will dance who the king chooses.,-22.18705636004273
3F.01,The specimen thawed to study it more closely.,-5.733414946328313
3F.02,With that announcement were many citizens denied the opportunity to protest.,-19.43212998357221
4F.01,There is likely a river to run down the mountain.,-8.770089055298227
4F.02,"Richard may have been hiding, but Blake may have done so too.",-11.293628683446018
5F.01,The ball perfectly rolled down the hill.,-7.992483467024102
5F.02,Lloyd Webber musicals are easy to condemn without even watching,-15.785311408207102
6F.01,There are firemen injured.,-12.016077006744505
6F.02,Someone better sing the national anthem.,-6.056938819094032
7F.01,It seems to me that Robert can't be trusted.,-4.62340075591371
7F.02,Laura is more excited than nervous.,-9.174273640099457
7F.03,I hate eating sushi.,-4.312637726012074
D.adjBecause.isl.lg.01,Which briefcase did you worry because the lawyer forgot at the office?,-23.161759478317684
D.adjBecause.isl.lg.02,Which painting did you laugh because the heiress bought at the auction?,-21.053813722601753
D.adjBecause.isl.lg.03,Which note did you sigh because the bride and groom neglected to send promptly?,-20.344556104870307
D.adjBecause.isl.lg.04,Which drawing did you blush because the child prodigy submitted to the art contest?,-21.039138913271273
D.adjBecause.isl.lg.05,Which window did you sneeze because the dog owner left open at night?,-13.419449327028591
D.adjBecause.isl.lg.06,Which painting did you cough because the tourists photographed in the exhibit?,-30.09723451083422
D.adjBecause.isl.lg.07,Which snack did you wink because the sweethearts shared at the movies?,-24.929839284131845
D.adjBecause.isl.lg.08,Which lines did you faint because the actors forgot on stage?,-16.474821200067524
D.adjBecause.isl.sh.01,Which secretary worried because the lawyer forgot his briefcase at the office?,-18.090866561168436
D.adjBecause.isl.sh.02,Which auctioneer laughed because the heiress bought a painting at the auction?,-13.40138668170257
D.adjBecause.isl.sh.03,Which guest sighed because the bride and groom neglected to send a thank you note promptly?,-14.216831843959742
D.adjBecause.isl.sh.04,Which teacher blushed because the child prodigy submitted a drawing to the art contest?,-20.241289312926053
D.adjBecause.isl.sh.05,Which resident sneezed because the dog owner left a window open at night?,-10.742649930316366
D.adjBecause.isl.sh.06,Which guard coughed because the tourists photographed the priceless painting in the exhibit?,-24.110413876583145
D.adjBecause.isl.sh.07,Which usher winked because the sweethearts shared popcorn at the movies?,-20.90628537753975
D.adjBecause.isl.sh.08,Which director fainted because the actors forgot their lines on stage?,-9.01914441062586
D.adjBecause.non.lg.01,Which briefcase did you think that the lawyer forgot at the office?,-16.490066193830426
D.adjBecause.non.lg.02,Which painting did you wish that the heiress bought at the auction?,-14.740546963301737
D.adjBecause.non.lg.03,Which note did you suspect that the bride and groom neglected to send promptly?,-16.91641941287561
D.adjBecause.non.lg.04,Which drawing did you think that the child prodigy  submitted to the art contest?,-12.5992493339052
D.adjBecause.non.lg.05,Which window did you hope that the dog owner left open at night?,-15.554807372912748
D.adjBecause.non.lg.06,Which painting did you complain that the tourists photographed in the exhibit?,-24.568634754352832
D.adjBecause.non.lg.07,Which snack did you claim that the sweethearts shared at the movies?,-19.78430031205619
D.adjBecause.non.lg.08,Which lines did you believe that the actors forgot on stage?,-12.109175537599993
D.adjBecause.non.sh.01,Which secretary thought that the lawyer forgot his briefcase at the office?,-15.222436139932674
D.adjBecause.non.sh.02,Which auctioneer wished that the heiress bought a painting at the auction?,-14.120811873601749
D.adjBecause.non.sh.03,Which guest suspected that the bride and groom neglected to send a thank you note promptly?,-13.084889938632715
D.adjBecause.non.sh.04,Which teacher thought that the child prodigy submitted a drawing to the art contest?,-16.81410801491882
D.adjBecause.non.sh.05,Which resident hoped that the dog owner left a window open at night?,-15.274294497387666
D.adjBecause.non.sh.06,Which guard complained that the tourists photographed the priceless painting in the exhibit?,-23.586353183835236
D.adjBecause.non.sh.07,Which usher claimed that the sweethearts shared popcorn at the movies?,-21.00289809432388
D.adjBecause.non.sh.08,Which director believed that the actors forgot their lines on stage?,-9.775920938806367
DLG.adjBecause.isl.lg.01,I found out which briefcase you worried because the lawyer forgot at the office.,-23.179646960540417
DLG.adjBecause.isl.lg.02,I found out which painting you laughed because the heiress bought at the auction.,-21.63837583470119
DLG.adjBecause.isl.lg.03,I found out which note you sighed because the bride and groom neglected to send promptly.,-23.678193323525864
DLG.adjBecause.isl.lg.04,I found out which drawing you blushed because the child prodigy submitted to the art contest.,-22.247516358369282
DLG.adjBecause.isl.lg.05,I know which window you sneezed because the dog owner left open at night.,-14.506516569646172
DLG.adjBecause.isl.lg.06,I know which painting you coughed because the tourists photographed in the exhibit.,-28.615200161219423
DLG.adjBecause.isl.lg.07,I know which snack you winked because the sweethearts shared at the movies.,-25.768891054228284
DLG.adjBecause.isl.lg.08,I know which lines you fainted because the actors forgot on stage.,-15.31715008805108
DLG.adjBecause.isl.sh.01,I found out which secretary worried because the lawyer forgot his briefcase at the office.,-17.850994413308303
DLG.adjBecause.isl.sh.02,I found out which auctioneer laughed because the heiress bought a painting at the auction.,-17.817994709626177
DLG.adjBecause.isl.sh.03,I found out which guest sighed because the bride and groom neglected to send a thank you note promptly.,-15.340296815333469
DLG.adjBecause.isl.sh.04,I found out which teacher blushed because the child prodigy submitted a drawing to the art contest.,-18.915992518598745
DLG.adjBecause.isl.sh.05,I know which resident sneezed because the dog owner left a window open at night.,-15.322301024000781
DLG.adjBecause.isl.sh.06,I know which guard coughed because the tourists photographed the priceless painting in the exhibit.,-25.24616467961262
DLG.adjBecause.isl.sh.07,I know which usher winked because the sweethearts shared popcorn at the movies.,-23.99190026680932
DLG.adjBecause.isl.sh.08,I know which director fainted because the actors forgot their lines on stage.,-10.457406510431193
DLG.adjBecause.non.lg.01,I found out which briefcase you thought that the lawyer forgot at the office.,-14.95398003706704
DLG.adjBecause.non.lg.02,I found out which painting you wished that the heiress bought at the auction.,-13.0733237449703
DLG.adjBecause.non.lg.03,I found out which note you suspected that the bride and groom neglected to send promptly.,-16.760694667015557
